t_resa	cat	orig	dest	anticipe	urgente	t_avl	t_due	vol	fare	decision
10	F	2	0	1	0	12	28	1	2	1
10	R	3	1	1	0	14	26	1	2	1
10	F	2	0	0	1	18	21	3	2	0
10	P	0	2	1	1	14	17	1	4	0
10	P	2	3	1	1	12	16	5	4	0
10	P	2	1	1	0	12	21	5	2	0
10	P	0	3	0	1	20	34	5	2	1
10	P	0	2	0	1	17	21	4	2	0
11	R	1	3	1	0	15	30	2	2	1
11	R	0	2	0	1	17	25	4	2	0
11	F	3	1	0	0	30	42	2	1	1
11	P	0	1	1	1	15	20	3	4	0
11	R	1	2	0	1	19	22	2	2	0
11	F	0	1	0	1	25	28	2	2	0
11	F	0	3	1	1	13	23	3	4	1
11	P	1	3	0	0	27	42	3	1	1
11	F	2	3	1	0	13	22	3	2	1
11	P	0	2	1	1	14	19	5	4	0.8
12	R	1	3	1	1	15	19	5	4	0
12	F	2	3	0	1	22	24	3	2	0
12	R	1	3	1	0	13	24	5	2	0
12	R	0	2	0	0	24	44	2	1	1
12	P	3	1	0	0	26	43	2	1	1
12	P	2	1	0	1	28	30	3	2	0
12	P	3	2	1	1	17	21	2	4	0
12	F	2	0	0	1	25	35	5	2	0
12	F	2	0	1	1	13	23	5	4	0
12	R	1	0	0	0	28	35	3	1	0
12	F	2	1	1	0	15	25	1	2	1
13	R	0	2	1	1	15	23	3	4	0
13	F	3	0	1	1	15	30	5	4	0
13	F	1	3	0	1	26	30	2	2	0
13	P	2	0	0	1	23	30	3	2	0.666667
13	R	1	0	0	1	28	33	4	2	0
13	P	0	3	1	1	15	27	5	4	0
13	R	1	2	1	1	18	22	2	4	0
13	F	0	3	0	1	23	37	1	2	1
13	P	2	1	0	0	31	38	4	1	0
13	R	0	1	0	0	31	41	2	1	0
13	R	0	3	0	1	19	23	2	2	0
13	F	2	0	0	0	31	47	2	1	1
13	R	2	0	0	1	21	30	5	2	0
13	F	1	0	1	0	16	24	5	2	0
14	R	3	1	1	0	18	30	5	2	0
14	F	1	2	0	0	26	36	2	1	1
14	P	2	3	1	0	15	21	3	2	1
14	R	1	3	1	0	15	28	2	2	0
14	P	3	1	0	0	28	45	2	1	1
14	P	3	1	1	1	19	24	5	4	0
14	P	2	1	0	1	30	33	3	2	0
14	F	3	1	0	1	22	27	2	2	0
14	F	2	1	0	1	31	34	3	2	0
14	F	0	1	0	1	33	36	1	2	0
14	F	0	2	1	0	16	35	4	2	1
14	R	2	1	1	1	16	19	1	4	0
14	R	1	0	0	1	24	26	2	2	0
14	R	2	0	0	1	21	29	2	2	0
15	F	2	3	0	1	24	29	3	2	0
15	P	3	1	0	0	23	38	2	1	0
15	R	2	1	0	1	35	40	3	2	1
15	R	1	3	1	0	17	32	5	2	0
15	R	0	2	0	0	31	45	2	1	0
15	F	3	2	0	0	26	35	4	1	0
15	R	1	2	0	0	33	40	2	1	0
15	F	1	3	1	0	18	38	2	2	1
15	F	0	3	0	1	26	37	1	2	1
15	R	1	3	1	0	17	37	2	2	1
15	R	1	2	0	1	28	31	1	2	0
16	P	3	1	1	0	18	34	3	2	0
16	P	1	2	1	0	17	26	3	2	0
16	F	1	0	1	1	19	21	5	4	0
16	F	2	0	0	0	29	40	2	1	0
16	F	2	0	1	1	19	28	5	4	0
16	P	0	2	0	1	24	27	4	2	0
16	P	0	3	0	0	29	52	1	1	1
17	R	3	1	1	0	21	32	5	2	0
17	P	3	1	1	1	20	28	1	4	0
17	F	1	3	1	1	20	29	5	4	0
17	R	1	0	0	1	32	37	4	2	0
17	P	3	2	1	1	20	23	2	4	1
17	F	0	2	1	1	22	25	3	4	0
17	F	2	0	0	1	28	33	4	2	0
17	R	2	1	0	0	25	34	2	1	0
17	F	0	1	0	1	36	38	2	2	0
17	P	1	2	0	1	31	35	3	2	0
17	F	2	0	0	1	37	47	3	2	1
18	F	3	1	1	1	22	31	3	4	0
18	P	2	0	0	1	38	48	3	2	0
18	R	1	3	1	1	20	29	3	4	0
18	R	1	3	1	1	20	28	4	4	0
18	R	3	0	0	0	37	63	4	1	1
18	F	3	0	1	0	19	42	2	2	1
18	P	0	1	1	0	21	30	1	2	1
18	F	0	1	0	1	33	37	2	2	0
18	F	3	2	1	0	19	27	1	2	1
18	F	2	3	1	0	20	27	3	2	0
18	F	2	3	0	1	37	40	1	2	0
18	F	2	1	1	0	22	32	1	2	0
18	F	1	0	1	0	20	30	5	2	1
19	F	0	3	0	1	28	35	3	2	1
19	F	3	2	1	1	21	23	3	4	1
19	F	1	0	1	1	20	23	2	4	0
19	P	3	0	0	0	32	57	5	1	1
19	P	0	1	1	1	21	26	3	4	0
19	F	2	3	0	1	34	36	4	2	0
19	F	3	1	0	1	29	39	3	2	1
19	R	0	2	1	1	23	29	3	4	0
19	F	3	0	0	0	27	57	1	1	1
19	P	2	3	1	1	21	26	2	4	0
19	P	2	3	1	1	21	25	5	4	0
19	P	3	2	1	0	24	32	4	2	0
19	F	3	2	1	0	23	32	1	2	0
19	F	1	0	1	0	21	28	1	2	1
19	R	1	3	1	0	23	37	1	2	1
19	R	2	0	1	1	23	26	5	4	0
20	P	3	0	1	1	22	33	1	4	0
20	F	2	3	1	1	25	29	5	4	0
20	F	3	1	1	0	21	41	5	2	1
20	F	0	3	0	1	32	43	1	2	0
20	P	3	0	1	0	23	50	4	2	1
20	P	0	3	0	1	33	43	5	2	0
20	F	1	3	1	0	24	36	4	2	1
20	P	0	1	1	0	23	30	4	2	1
20	P	3	2	0	0	34	41	1	1	1
20	R	1	2	0	0	30	40	4	1	1
21	F	3	0	0	0	27	55	3	1	1
21	R	1	0	0	1	27	30	4	2	0
21	P	2	1	1	1	26	31	3	4	0
21	R	0	3	0	0	37	61	5	1	1
21	R	1	2	1	1	25	27	2	4	0
21	F	0	3	1	1	23	35	3	4	0
21	P	0	2	1	1	25	33	3	4	0.666667
21	R	0	3	0	1	29	38	2	2	0
21	R	0	1	0	0	28	34	1	1	1
22	R	0	2	1	1	23	27	3	4	0
22	P	3	0	1	1	24	28	5	4	0
22	P	3	0	0	0	34	53	4	1	1
22	R	2	0	0	1	38	46	4	2	0
22	F	2	0	0	1	36	40	3	2	0
22	P	0	3	1	1	27	41	5	4	0
22	P	3	0	0	0	37	65	4	1	1
22	F	0	1	0	0	29	39	4	1	0
22	F	2	3	1	1	27	32	1	4	0
22	P	0	2	1	1	23	32	1	4	0
22	F	2	3	0	1	40	44	1	2	0
22	P	1	3	0	0	40	57	3	1	1
22	F	3	1	1	1	23	30	1	4	0
22	R	1	3	1	0	23	34	2	2	0
23	F	3	0	1	1	24	34	5	4	0
23	F	2	3	0	0	39	45	1	1	0
23	R	1	0	1	0	26	34	1	2	0
23	P	3	0	1	0	27	55	1	2	1
23	P	0	3	0	0	41	64	5	1	1
23	P	2	1	1	0	25	35	5	2	0
23	R	2	3	1	0	26	33	3	2	0
23	F	3	1	0	0	32	46	2	1	1
23	P	1	2	1	1	27	31	1	4	0
23	F	2	0	0	1	39	49	5	2	0
23	P	0	3	0	1	29	34	3	2	0
23	R	0	1	0	0	31	41	2	1	0
23	P	2	0	1	1	28	34	2	4	0
23	F	2	1	1	0	27	37	1	2	0
23	F	1	0	1	1	27	30	4	4	0
23	P	0	2	1	1	25	30	5	4	0
24	R	1	3	1	1	28	35	5	4	0
24	F	0	2	0	1	44	54	2	2	0
24	F	1	3	0	1	39	44	2	2	0
24	F	1	2	0	1	36	41	5	2	0
24	R	1	2	1	1	28	31	2	4	0
24	P	1	3	1	1	29	38	1	4	0
24	P	3	2	1	1	28	32	4	4	0
24	R	1	0	1	1	27	30	3	4	0
24	R	1	3	0	1	41	45	4	2	0
24	P	2	1	1	0	25	35	5	2	0
24	R	2	1	0	1	43	46	3	2	0
24	R	2	0	0	1	32	41	5	2	0
24	R	2	1	0	0	35	44	3	1	1
24	F	2	1	0	1	40	45	3	2	0
24	R	0	2	1	0	28	41	4	2	0
24	R	2	0	1	0	27	47	4	2	0
25	F	1	3	1	0	30	47	5	2	0
25	F	3	0	1	1	26	31	3	4	0
25	R	0	2	0	1	34	41	4	2	0
25	R	0	2	0	0	35	52	1	1	1
25	R	3	0	0	1	33	42	2	2	0
25	F	1	0	0	1	38	42	2	2	1
25	R	2	0	1	0	27	42	1	2	0
25	F	3	1	0	1	34	39	5	2	0
25	F	2	0	1	0	27	43	1	2	0
25	F	0	1	1	0	30	37	5	2	0
25	F	0	1	1	0	26	34	2	2	1
25	R	1	0	0	0	31	38	3	1	0
25	R	1	3	1	0	26	44	2	2	0
26	F	3	2	0	0	33	43	3	1	1
26	R	3	1	0	0	40	54	5	1	1
26	F	2	0	1	0	31	51	4	2	0
26	F	3	2	0	1	39	42	1	2	0
26	F	1	3	0	1	46	55	3	2	0
26	R	3	1	1	0	31	49	1	2	0
26	P	2	3	1	0	31	39	5	2	1
27	R	0	3	1	1	32	46	2	4	0
27	F	3	1	1	1	28	32	1	4	0
27	R	3	2	0	0	40	49	2	1	0
27	P	2	3	0	0	38	48	4	1	1
27	P	1	2	1	0	30	38	1	2	0
27	F	0	1	1	1	32	35	3	4	0
27	F	3	1	1	1	28	38	3	4	0
27	R	1	2	0	1	40	43	2	2	0
27	P	2	1	0	0	40	50	4	1	0
27	R	2	1	1	0	31	37	4	2	0
27	R	0	1	1	1	31	34	4	4	0
27	F	1	2	0	0	45	51	5	1	0
27	P	0	3	0	0	33	61	3	1	1
27	F	3	0	1	0	32	62	2	2	1
28	F	3	0	1	1	33	48	5	4	0
28	F	1	2	0	0	48	58	2	1	0
28	F	1	3	1	0	31	51	2	2	1
28	R	1	3	1	0	30	45	2	2	0
28	P	0	1	1	0	31	37	1	2	0
28	P	3	2	1	1	32	35	4	4	0
28	F	1	3	0	1	45	51	3	2	0
28	P	0	2	1	1	32	41	3	4	0
28	R	0	3	0	1	38	51	2	2	1
28	F	0	2	1	0	31	49	4	2	1
28	P	2	1	1	0	32	40	5	2	0
28	R	1	2	0	1	46	49	1	2	0
28	R	2	1	0	1	37	42	3	2	0
28	P	0	3	0	0	43	70	3	1	1
29	F	0	2	0	1	45	49	2	2	0
29	F	2	3	0	1	37	42	3	2	0
29	F	1	3	1	0	32	44	5	2	0
29	F	3	2	0	0	43	53	3	1	1
29	P	3	0	1	0	32	60	1	2	1
29	F	2	0	1	0	30	42	4	2	0
29	F	0	2	1	1	34	42	3	4	0
29	F	3	2	0	1	45	49	1	2	0
29	P	3	2	1	0	33	43	4	2	1
29	R	0	1	0	0	47	55	1	1	0
30	F	3	0	0	0	49	72	3	1	1
30	P	2	1	1	1	32	37	3	4	0
30	P	2	3	0	0	38	48	4	1	1
30	R	3	0	0	0	36	60	4	1	1
30	P	1	2	1	1	31	36	1	4	0
30	R	0	2	1	1	34	41	3	4	0
30	R	1	0	1	1	33	35	3	4	0
30	R	0	1	0	0	37	47	2	1	1
30	F	2	0	0	0	40	51	2	1	0
31	F	2	3	0	0	38	47	1	1	0
31	R	1	0	1	0	33	41	1	2	1
31	F	0	3	0	1	48	55	3	2	0
31	R	0	3	0	0	40	64	5	1	1
31	P	0	3	0	0	46	67	5	1	1
31	F	3	0	1	0	32	57	2	2	1
31	R	1	2	1	1	35	40	2	4	0
31	P	2	1	0	0	43	51	4	1	0
31	R	0	1	1	1	36	41	4	4	0
31	F	1	0	1	0	32	40	1	2	0
31	F	2	0	1	1	36	45	5	4	0
31	R	2	0	1	0	33	47	4	2	0
32	F	1	2	0	1	51	53	5	2	0
32	P	3	1	0	0	47	60	2	1	1
32	R	3	1	1	0	33	48	5	2	0
32	P	3	1	1	1	34	39	5	4	0
32	F	0	3	0	1	42	49	1	2	1
32	F	2	1	0	1	44	47	3	2	0
32	F	2	3	0	1	41	45	4	2	0
32	F	0	1	0	0	47	54	4	1	0
32	F	2	0	0	1	40	50	4	2	0
32	R	3	1	1	0	37	51	1	2	0
32	P	0	2	1	1	37	42	1	4	0
32	P	2	3	1	1	34	37	5	4	0
32	R	2	1	1	1	37	42	1	4	0
32	R	1	3	1	0	35	46	1	2	0
32	P	1	3	0	0	49	67	3	1	1
32	F	3	0	1	0	34	54	2	2	0
33	F	1	3	0	1	52	56	2	2	0
33	P	3	0	1	1	37	48	1	4	0
33	R	1	3	1	1	36	40	3	4	0
33	F	1	3	1	1	38	41	5	4	0
33	R	3	1	0	0	50	65	5	1	0
33	R	2	3	1	0	34	41	3	2	0
33	P	0	1	1	1	35	40	3	4	0
33	R	2	0	1	0	38	57	1	2	1
33	F	3	1	0	1	43	51	3	2	0
33	F	3	1	1	1	35	45	3	4	0
33	P	1	2	1	0	38	44	3	2	0
33	R	2	1	0	0	47	57	2	1	1
33	R	1	0	0	1	40	44	2	2	0
33	P	0	3	0	1	47	54	5	2	0
33	R	1	3	1	0	35	47	2	2	0
33	R	2	0	0	1	52	59	2	2	0
34	P	3	0	1	1	35	41	5	4	0
34	R	1	3	1	1	38	42	5	4	0
34	R	0	2	0	0	47	59	2	1	0
34	R	0	2	0	0	49	68	1	1	1
34	F	3	1	1	0	37	54	5	2	1
34	F	3	0	0	0	48	65	1	1	1
34	R	1	2	1	1	35	39	2	4	0
34	F	2	3	0	1	52	56	1	2	0
34	P	0	3	0	0	41	60	1	1	1
34	R	1	2	0	0	41	47	4	1	1
35	F	3	1	1	1	37	45	3	4	0
35	R	1	0	0	1	51	54	4	2	0
35	R	2	0	0	1	42	48	4	2	0
35	P	3	1	1	1	39	49	1	4	0
35	F	1	0	1	1	36	38	2	4	0
35	F	1	0	0	1	54	59	2	2	0
35	P	3	0	0	0	55	84	4	1	1
35	P	3	2	1	1	36	41	2	4	0
35	R	1	2	0	1	54	56	2	2	0
35	P	0	3	0	1	47	55	3	2	0
35	F	2	0	1	0	40	51	1	2	0
35	F	0	3	1	1	40	47	3	4	0
35	F	0	1	1	0	40	46	2	2	1
35	R	2	1	1	0	39	46	4	2	0
35	P	3	0	1	0	39	59	4	2	1
35	F	3	1	1	1	39	44	1	4	0
35	P	0	2	1	1	39	45	5	4	0
35	P	2	3	1	0	36	43	5	2	0
35	F	2	3	0	1	45	47	1	2	0
35	P	3	2	0	0	50	56	1	1	0
36	R	0	2	1	1	41	51	3	4	1
36	P	3	1	0	0	52	68	2	1	1
36	P	3	0	0	0	44	60	4	1	1
36	R	1	2	0	0	54	61	2	1	1
36	F	3	1	0	1	53	63	2	2	0
36	P	3	1	1	0	37	51	3	2	0
36	P	1	3	1	1	41	48	1	4	1
36	P	2	3	1	1	41	45	2	4	0
36	F	2	0	0	1	51	61	3	2	1
36	F	3	2	1	0	39	49	1	2	0
36	F	2	1	0	1	51	55	3	2	1
36	F	1	0	1	1	39	41	4	4	1
36	F	2	3	1	0	37	45	3	2	0
37	R	3	1	1	0	42	62	5	2	0
37	P	2	0	0	1	44	53	3	2	0
37	F	3	0	1	1	39	51	3	4	0
37	R	1	3	1	0	42	53	2	2	1
37	R	3	2	0	0	46	52	2	1	1
37	F	0	1	1	1	41	43	3	4	0
37	F	0	1	0	1	49	53	1	2	0
37	P	1	2	0	1	51	56	3	2	0
37	F	0	1	1	0	40	46	5	2	1
37	F	1	0	1	1	38	43	5	4	1
37	P	2	0	1	1	39	43	2	4	0
38	R	2	1	0	1	49	52	3	2	0
38	R	0	2	0	1	52	55	4	2	0
38	F	3	2	1	1	43	47	3	4	0
38	F	2	0	0	1	55	60	3	2	0
38	P	2	1	1	0	43	51	5	2	0
38	P	3	0	0	0	50	72	5	1	1
38	F	2	0	0	1	58	66	5	2	0
38	F	0	1	0	1	54	59	2	2	1
38	F	3	2	1	0	43	53	1	2	1
38	R	1	0	0	0	52	62	3	1	1
38	F	2	1	1	0	42	50	1	2	0
38	R	2	0	0	1	45	49	5	2	0
38	P	0	1	1	0	42	50	4	2	1
39	P	1	2	1	0	40	47	1	2	1
39	R	1	3	0	1	48	54	4	2	0
39	F	1	2	0	0	53	62	5	1	1
39	P	0	2	0	1	55	58	4	2	0
39	R	2	0	1	1	44	47	5	4	0
39	F	2	1	1	0	44	53	1	2	1
40	R	0	3	1	1	45	55	2	4	0
40	F	3	1	1	1	41	47	1	4	0
40	R	1	3	1	1	45	54	4	4	0
40	P	2	3	1	0	42	51	3	2	1
40	R	1	3	1	0	42	57	5	2	1
40	P	2	1	0	1	59	62	3	2	0
40	F	3	2	0	0	51	59	4	1	0
40	R	1	0	0	1	50	53	4	2	0
40	P	0	3	1	1	41	49	5	4	1
40	F	3	1	0	0	59	72	2	1	1
40	F	0	3	0	1	46	55	1	2	0
40	F	3	1	0	1	48	52	5	2	0
40	F	0	1	0	1	46	50	2	2	0
40	F	1	3	1	0	43	61	4	2	1
40	R	2	1	0	0	46	56	3	1	0
40	F	1	0	1	0	44	54	5	2	0
41	F	2	3	1	1	43	45	5	4	0
41	R	3	0	0	1	53	61	2	2	0
41	F	2	3	1	1	43	48	1	4	1
41	R	0	2	1	0	45	61	4	2	1
41	R	1	3	1	0	43	60	2	2	0
42	R	0	3	1	1	45	53	2	4	0
42	P	3	1	1	1	47	50	1	4	0
42	R	0	2	0	1	50	55	4	2	0
42	F	3	2	0	0	57	63	4	1	0
42	R	3	1	0	0	54	69	5	1	1
42	F	1	3	1	0	44	57	2	2	0
42	P	3	2	1	1	44	47	2	4	0
42	F	0	3	0	1	58	64	1	2	0
42	P	2	1	0	0	56	63	4	1	0
42	F	2	0	0	1	49	56	5	2	0
42	P	1	2	1	0	45	55	3	2	0
42	R	1	0	0	0	51	59	3	1	1
42	P	0	2	0	1	48	53	4	2	0
42	R	1	2	0	0	62	71	4	1	0
42	R	1	3	1	0	46	66	2	2	1
43	P	3	0	1	1	46	56	5	4	0.2
43	F	3	0	1	1	48	58	3	4	0
43	F	3	0	0	0	63	79	3	1	1
43	R	3	1	1	0	46	58	5	2	0
43	P	2	1	0	1	52	57	3	2	0
43	F	2	0	0	1	62	68	3	2	0
43	P	0	3	1	1	44	57	5	4	0
43	P	0	1	1	1	48	50	3	4	0
43	F	3	1	0	1	54	59	3	2	0
43	P	0	2	1	1	47	51	3	4	0
43	P	0	2	1	1	44	51	1	4	0
43	P	2	3	1	1	47	52	5	4	0
43	R	2	1	1	0	46	53	4	2	0
43	R	1	3	1	0	48	62	2	2	1
43	F	3	1	1	1	47	51	1	4	0
44	P	3	0	1	1	45	57	1	4	0
44	P	0	3	0	0	64	85	5	1	1
44	F	3	0	1	0	45	71	2	2	1
44	P	1	2	1	1	48	53	1	4	0
44	F	0	1	1	1	46	49	3	4	0
44	P	0	1	1	0	48	57	1	2	0
44	P	1	2	0	1	58	60	3	2	1
44	R	2	0	0	1	56	62	5	2	0
45	F	2	3	0	0	51	57	1	1	0
45	R	1	3	1	1	46	55	4	4	0
45	R	2	0	0	1	52	61	4	2	0
45	R	0	3	0	0	62	80	5	1	1
45	R	0	2	0	0	60	75	1	1	1
45	F	3	2	1	1	47	50	3	4	0
45	R	3	2	0	0	58	65	2	1	1
45	R	3	0	0	0	54	79	4	1	1
45	F	0	1	0	0	51	60	4	1	1
45	R	1	2	1	1	47	52	2	4	0
45	R	0	2	1	1	46	50	3	4	0
45	R	1	2	0	1	61	63	1	2	0
45	P	0	1	1	0	49	55	4	2	0
46	R	1	3	1	1	50	53	5	4	0
46	P	2	3	1	0	51	61	3	2	0
46	F	3	2	0	0	52	61	3	1	0
46	P	2	1	1	1	50	53	3	4	0
46	F	3	1	1	0	48	62	5	2	0
46	P	3	0	0	0	53	69	5	1	1
46	F	0	1	0	1	58	61	1	2	0
46	F	2	0	1	0	50	69	1	2	1
46	P	0	3	0	1	58	64	5	2	0
46	F	3	2	1	0	48	58	1	2	1
46	R	2	0	1	0	50	68	4	2	0
47	F	0	2	0	1	58	65	2	2	0
47	F	2	3	0	1	63	68	3	2	0
47	F	1	3	0	1	53	56	2	2	0
47	R	1	3	1	1	51	60	3	4	0
47	R	1	3	1	0	51	68	2	2	1
47	F	0	3	0	1	57	67	3	2	0
47	R	2	3	1	0	50	60	3	2	0
47	P	3	1	1	0	50	70	3	2	1
47	F	2	0	0	1	58	66	4	2	0
47	R	2	1	0	0	55	61	2	1	0
47	R	0	1	0	0	60	66	1	1	0
47	R	1	0	0	1	66	70	2	2	1
47	F	2	1	1	0	51	57	1	2	0
47	F	1	3	1	0	49	66	4	2	1
47	F	1	0	1	1	50	52	4	4	0
47	F	2	3	1	0	51	58	3	2	0
47	R	2	0	1	1	51	58	5	4	0
47	P	0	3	0	0	55	75	3	1	1
48	R	3	1	1	0	51	65	5	2	0
48	R	1	0	1	0	50	58	1	2	1
48	R	1	2	0	0	61	67	2	1	0
48	F	0	3	0	1	63	68	1	2	0
48	F	3	1	0	1	67	75	2	2	0
48	F	2	0	1	0	51	67	4	2	0
48	R	1	2	0	1	59	61	2	2	0
48	P	1	3	1	1	51	55	1	4	0
48	R	1	3	1	0	50	61	2	2	0
48	P	0	3	0	1	65	77	3	2	1
48	F	0	1	0	1	56	59	2	2	1
48	R	0	1	0	0	56	66	2	1	1
48	F	1	0	1	1	52	57	5	4	1
48	R	2	1	1	1	50	54	1	4	0
48	P	2	1	1	0	53	62	5	2	0
48	P	3	2	0	0	62	70	1	1	1
49	F	3	1	1	1	52	59	3	4	0
49	P	2	0	0	1	60	70	3	2	1
49	F	1	2	0	0	69	78	2	1	1
49	F	3	1	0	0	63	81	2	1	1
49	F	2	1	0	1	69	72	3	2	0
49	R	2	0	1	0	54	68	1	2	0
49	F	0	2	1	1	51	57	3	4	0
49	F	3	0	0	0	62	86	1	1	1
49	P	3	2	1	1	52	56	4	4	0
49	F	3	2	1	0	50	60	1	2	0
49	R	0	1	1	1	54	56	4	4	0
49	F	1	2	0	0	59	66	5	1	0
49	R	0	2	1	0	51	71	4	2	0
49	F	2	1	1	0	52	62	1	2	0
49	F	3	0	1	0	52	73	2	2	1
50	F	3	0	1	1	54	61	5	4	0
50	F	3	1	1	1	54	64	1	4	0
50	R	2	1	0	1	56	59	3	2	0
50	P	1	2	1	0	55	65	1	2	1
50	F	3	2	0	1	67	72	1	2	0
50	F	3	1	0	1	60	67	5	2	0
50	F	1	3	0	1	70	78	3	2	1
50	F	0	3	1	1	53	65	3	4	0
